author,date,description,tags,title
Siddha Ganju,July 2020,"“Watching paint dry is faster than training my deep learning model.”,“If only I had ten more GPUs, I could train my model in time.”,“I want to run my model on a cheap smartphone, but it’s probably too heavy and slow.”","Deep Learning,Machine-Learning",30 Golden Rules of Deep Learning Performance
Tania Allard,July 2020,"Docker has become a standard tool for developers around the world to deploy applications in a reproducible and robust manner. The existence of Docker and Docker compose have reduced the time needed to set up new software and implementing complex technology stacks for our applications. Now, six years after the initial release of Docker, we can say with confidence that containers and containers orchestration have become some of the defaults in the current technology stacks.","Conda / conda forge,Data Science,Deep Learning,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)",Docker and Python: making them play nicely and securely for Data Science and ML
Eyal Trabelsi,July 2020,"Error handling is hard. Regardless of the approach you take, it usually means littering your application with checks and validations that greatly reduce code readability. So how can we tackle exceptions?","Python Skills,Python general,python",Elegant Exception Handling
Vinicius Gubiani Ferreira,July 2020,"Does your company uses code review? In this talk I will demonstrate why it should start using them immediately, share the many benefits and situations we've gone through, besides good practices that should be used for effective code reviews, that add quality to the product/service that is being delivered.","Agile,Best Practice,Clean Code,Code Analysis,Communication",Effective Code Reviews
Mikhail Medvedev,July 2020,"Rust is a rising star of the programming language world. I'd like to discuss it from a Python developer perspective. Obviously, Rust is not a replacement for Python, but in case you're seeking better performance it may be a good idea to build an extension. This is safer and arguably easier to do in Rust than in C.,In this talk we will take a look at existing crates that provide interface to Python and see how easy it is to use them.,Then we go through the demo and see it in action.,Run some benchmarks against pure Python and also Cython.,Write a Dockerfile to build it all together.,Discuss CI/CD for mixed Rust/Python projects.","All Other Programming Languages,Compiler and Interpreters,Deployment/Continuous Integration and Delivery,Docker,Rust",Extending Python with Rust
Roberto Polli,July 2020,"Writing API guidelines is a best practice for standardizing APIs produced by thousands of service provider, but what happens when those rules are not backed by internet standards?","APIs,Best Practice,Case Study,Community,HTTP",Extending HTTP for fun and non-profit
Mark Smith,July 2020,"MongoDB is webscale, right? It's a JSON database, it's eventually consistent, and you use map-reduce to query it. Oh, and it's insecure.","Big Data,Data,Databases,Development,MongoDB",Everything You Know About MongoDB is Wrong!
Marc-Andre Lemburg,July 2020,Many of our sponsor are looking to hire more developers and EuroPython is the perfect place to reach out to many of them.,"Business,Development,Job Hunting,Python Skills,Workforce",Find a new job - Sponsor Presentations
Bojan Miletic,July 2020,"The talk should hopefully provided value to all listeners, regardless of their knowledge level, but preferably you have some knowledge of pytest test parametrization","Django,TDD,Test Libraries (pytest/nose/...),Testing",Django Testing on Steroid: pytest + Hypothesis
Abdur-Rahmaan Janhangeer,July 2020,"With Python, when thinking of web frameworks, two that come into mind are Django and Flask. Instead of having to choose one of the two, this session shows how you can engineer Flask to achieve a simili-Django app. It's a dive into the internal components of Django and the idea behind. The session covers different Flask development patterns to finally finish with an app that's functionally similar to Django with some extra features in for free. It also lists some caveats identified with such a pattern. This session requires attendees to know Flask and having used Django for building at least one project. At the very least it assumes the knowledge of models, views, controller, templates and migrations. It discusses along the way the educational and pedagogical aspect of learning web frameworks and proposes a syllabus. It discusses the benefits of learning Flask and the necessity of learning the two as a Pythonista. Django is the go-to framework for web development and it's no surprise that most freelancing jobs require Django. Flask is appreciated for the flexibility it gives. The session also touches about how we can better promote Flask through education. The session finishes with the hurdles identified when getting started with web development in Python, pulled from personal teaching experience.",Web Servers and MicroFWs (Flask/Tornado/Nginx/...),Django Clone From Scratch With Flask
